loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
loading app ryu_controller.py
loading app ryu.controller.ofp_handler
instantiating app ryu_controller.py of SDNFirewall
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1 3a:75:a9:85:78:97 33:33:00:00:00:02 3
packet in 1 62:db:b3:a8:88:7e 33:33:00:00:00:02 3
packet in 5 c6:e4:e9:16:c2:47 33:33:00:00:00:02 2
packet in 5 46:21:4c:b2:ff:f7 33:33:00:00:00:02 2
packet in 5 3a:75:a9:85:78:97 33:33:00:00:00:02 2
packet in 5 62:db:b3:a8:88:7e 33:33:00:00:00:02 2
packet in 4 a6:69:65:cd:c4:f1 33:33:00:00:00:02 6
packet in 4 de:cd:78:58:4b:3f 33:33:00:00:00:02 5
packet in 4 7e:bf:a1:bf:ab:38 33:33:00:00:00:02 5
packet in 2 c6:e4:e9:16:c2:47 33:33:00:00:00:02 3
packet in 2 46:21:4c:b2:ff:f7 33:33:00:00:00:02 3
packet in 2 3a:75:a9:85:78:97 33:33:00:00:00:02 3
packet in 1 a6:69:65:cd:c4:f1 33:33:00:00:00:02 3
packet in 1 de:cd:78:58:4b:3f 33:33:00:00:00:02 3
packet in 1 7e:bf:a1:bf:ab:38 33:33:00:00:00:02 3
packet in 3 de:cd:78:58:4b:3f 33:33:00:00:00:02 3
packet in 3 7e:bf:a1:bf:ab:38 33:33:00:00:00:02 3
packet in 5 a6:69:65:cd:c4:f1 33:33:00:00:00:02 2
packet in 5 de:cd:78:58:4b:3f 33:33:00:00:00:02 2
packet in 5 7e:bf:a1:bf:ab:38 33:33:00:00:00:02 2
packet in 2 a6:69:65:cd:c4:f1 33:33:00:00:00:02 3
packet in 4 be:4d:c4:f8:35:27 33:33:00:00:00:02 7
packet in 1 32:33:2e:af:48:aa 33:33:00:00:00:02 3
packet in 1 be:4d:c4:f8:35:27 33:33:00:00:00:02 3
packet in 3 be:4d:c4:f8:35:27 33:33:00:00:00:02 3
packet in 2 be:4d:c4:f8:35:27 33:33:00:00:00:02 3
packet in 1 aa:aa:20:5f:21:21 33:33:00:00:00:02 2
packet in 4 a6:4b:70:f7:a8:d5 33:33:00:00:00:02 4
packet in 3 a6:4b:70:f7:a8:d5 33:33:00:00:00:02 3
packet in 5 a6:4b:70:f7:a8:d5 33:33:00:00:00:02 2
packet in 2 a6:4b:70:f7:a8:d5 33:33:00:00:00:02 3
packet in 4 aa:aa:20:5f:21:21 33:33:00:00:00:02 4
packet in 5 aa:aa:20:5f:21:21 33:33:00:00:00:02 2
packet in 2 aa:aa:20:5f:21:21 33:33:00:00:00:02 3
packet in 3 aa:aa:20:5f:21:21 33:33:00:00:00:02 3
packet in 4 c2:93:09:a0:55:3d 33:33:00:00:00:02 1
packet in 5 ea:12:d8:35:b4:b7 33:33:00:00:00:02 2
packet in 1 82:c0:e0:99:27:2d 33:33:00:00:00:02 1
packet in 2 c2:93:09:a0:55:3d 33:33:00:00:00:02 3
packet in 4 82:c0:e0:99:27:2d 33:33:00:00:00:02 4
packet in 3 c2:93:09:a0:55:3d 33:33:00:00:00:02 3
packet in 1 c2:93:09:a0:55:3d 33:33:00:00:00:02 3
packet in 5 c2:93:09:a0:55:3d 33:33:00:00:00:02 2
packet in 3 82:c0:e0:99:27:2d 33:33:00:00:00:02 3
packet in 5 82:c0:e0:99:27:2d 33:33:00:00:00:02 2
packet in 2 82:c0:e0:99:27:2d 33:33:00:00:00:02 3
packet in 3 7a:28:18:a5:01:3a 33:33:00:00:00:02 1
packet in 4 7a:28:18:a5:01:3a 33:33:00:00:00:02 6
packet in 1 7a:28:18:a5:01:3a 33:33:00:00:00:02 3
packet in 2 7a:28:18:a5:01:3a 33:33:00:00:00:02 3
packet in 5 7a:28:18:a5:01:3a 33:33:00:00:00:02 2
packet in 5 96:05:9c:ec:13:c3 33:33:00:00:00:02 1
packet in 4 96:05:9c:ec:13:c3 33:33:00:00:00:02 7
packet in 1 96:05:9c:ec:13:c3 33:33:00:00:00:02 3
packet in 3 96:05:9c:ec:13:c3 33:33:00:00:00:02 3
packet in 2 96:05:9c:ec:13:c3 33:33:00:00:00:02 3
packet in 4 c6:e4:e9:16:c2:47 33:33:00:00:00:02 2
packet in 1 c6:e4:e9:16:c2:47 33:33:00:00:00:02 3
packet in 5 c6:e4:e9:16:c2:47 33:33:00:00:00:02 2
packet in 3 c6:e4:e9:16:c2:47 33:33:00:00:00:02 3
packet in 2 c6:e4:e9:16:c2:47 33:33:00:00:00:02 3
packet in 4 46:21:4c:b2:ff:f7 33:33:00:00:00:02 6
packet in 1 46:21:4c:b2:ff:f7 33:33:00:00:00:02 3
